Date,Medio,Program,Schedule,Original Title,Duration,Ordered Qty,Insertion,Confidence,Status
2025-12-12,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-12,TVN,Fam. de la Tarde,1:00pm-05:00pm,SUENOS ROBADOS,35,1,1,100,matched
2025-12-12,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-12,TVN,Rot. Vespertina,1:00pm-05:00pm,SUENOS ROBADOS,10,1,1,100,matched
2025-12-15,MEDCOM,Noticiero Matutino,6:00am-08:00am,ALMA SALVAJE,35,1,1,100,matched
2025-12-15,MEDCOM,Noticiero Matutino,6:00am-08:00am,ALMA SALVAJE,10,1,1,100,matched
2025-12-15,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,10,1,1,100,matched
2025-12-15,TVN,Fam. de la Tarde,1:00pm-05:00pm,SUENOS ROBADOS,35,1,1,100,matched
2025-12-15,TVN,Jelou,8:00am-11:30am,TVN NOTICIAS A M,35,1,1,100,matched
2025-12-15,TVN,Noticiero Matutino,6:00am-08:00am,NUEVO RICO NUEVO POBRE,35,1,1,100,matched
2025-12-15,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-15,TVN,Rot. Vespertina,1:00pm-05:00pm,AMOR AMARGO,10,1,1,100,matched
2025-12-16,MEDCOM,Novela Vespertina,1:00pm-05:00pm,MI PECADO,35,1,1,100,matched
2025-12-16,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,10,1,1,100,matched
2025-12-16,MEDCOM,Tu Mañana,8:00am-11:30am,TU MANANA,35,1,1,100,matched
2025-12-16,MEDCOM,Tu Mañana,8:00am-11:30am,TU MANANA,10,1,1,100,matched
2025-12-16,TVN,Fam. de la Tarde,1:00pm-05:00pm,SUENOS ROBADOS,35,1,1,100,matched
2025-12-16,TVN,Jelou,8:00am-11:30am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-16,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-16,TVN,Rot. Vespertina,1:00pm-05:00pm,AMOR AMARGO,10,1,1,100,matched
2025-12-17,MEDCOM,Noticiero Matutino,6:00am-08:00am,UNA VIDA PERFECTA,35,1,1,100,matched
2025-12-17,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA MATUTIN,10,1,1,100,matched
2025-12-17,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-17,MEDCOM,Tu Mañana,8:00am-11:30am,TU MANANA,10,1,1,100,matched
2025-12-17,TVN,Fam. de la Tarde,1:00pm-05:00pm,AMOR AMARGO,35,1,1,100,matched
2025-12-17,TVN,Jelou,8:00am-11:30am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-17,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS A M,35,1,1,100,matched
2025-12-17,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,10,1,1,100,matched
2025-12-18,MEDCOM,Noticiero Matutino,6:00am-08:00am,ALMA SALVAJE,35,1,1,100,matched
