Date,Medio,Program,Original Title,Duration,Ordered Qty,Insertion,Confidence
2025-12-23,"TVN","Novela Estelar","NUEVO RICO NUEVO POBRE, LA NOVIA DE ESTAMBUL, CORAZON DE MADRE",10,1,9,100
2025-12-04,"TVN","Novela Estelar","NUEVO RICO NUEVO POBRE, LA NOVIA DE ESTAMBUL",35,1,8,100
2025-12-11,"TVN","Novela Estelar","NUEVO RICO NUEVO POBRE",35,2,2,100
2025-12-11,"TVN","Novela Estelar","NUEVO RICO NUEVO POBRE",10,3,2,100
2025-12-08,"TVN","Novela Estelar","NUEVO RICO NUEVO POBRE",10,1,1,100
2025-12-07,"TVN","Loteria","LOTERIA",35,1,1,100
2025-12-14,"TVN","Loteria","LOTERIA",35,1,1,100
2025-12-28,"TVN","Loteria","LOTERIA",35,1,1,100
2025-12-17,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",35,1,11,100
2025-12-17,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",10,3,11,100
2025-12-18,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",35,2,12,100
2025-12-18,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",10,3,12,100
2025-12-19,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",35,1,11,100
2025-12-19,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",10,3,11,100
2025-12-22,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",35,1,8,100
2025-12-22,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",10,2,8,100
2025-12-17,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",35,1,11,100
2025-12-17,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",10,1,11,100
2025-12-18,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",10,1,12,100
2025-12-19,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",35,1,11,100
2025-12-19,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",10,1,11,100
2025-12-22,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE, CORAZON DE MADRE",10,1,8,100
2025-12-10,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE",35,2,4,100
2025-12-10,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE",10,3,4,100
2025-12-01,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE",10,1,3,100
2025-12-10,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE",35,1,4,100
2025-12-10,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE",10,1,4,100
2025-12-29,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE",35,1,6,100
2025-12-29,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE",10,1,6,100
2025-12-16,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, CORAZON DE MADRE, NUEVO RICO NUEVO POBRE",35,1,13,100
2025-12-16,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, CORAZON DE MADRE, NUEVO RICO NUEVO POBRE",10,3,13,100
2025-12-16,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL, CORAZON DE MADRE, NUEVO RICO NUEVO POBRE",10,1,13,100
2025-12-31,"TVN","Novela Estelar","LA NOVIA DE ESTAMBUL",10,1,1,100
2025-12-15,"TVN","Novela Estelar","CORAZON DE MADRE, NUEVO RICO NUEVO POBRE, LA NOVIA DE ESTAMBUL",35,2,15,100
2025-12-15,"TVN","Novela Estelar","CORAZON DE MADRE, NUEVO RICO NUEVO POBRE, LA NOVIA DE ESTAMBUL",10,3,15,100
2025-12-15,"TVN","Novela Estelar","CORAZON DE MADRE, NUEVO RICO NUEVO POBRE, LA NOVIA DE ESTAMBUL",35,1,15,100
2025-12-15,"TVN","Novela Estelar","CORAZON DE MADRE, NUEVO RICO NUEVO POBRE, LA NOVIA DE ESTAMBUL",10,1,15,100
2025-12-03,"TVN","Novela Estelar","CORAZON DE MADRE, LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE",10,1,9,100
2025-12-05,"TVN","Novela Estelar","CORAZON DE MADRE, LA NOVIA DE ESTAMBUL, NUEVO RICO NUEVO POBRE",10,1,8,100
2024-12-12,"MEDCOM","Noticiero Estelar","-",35,1,0,0
2024-12-12,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-12,"MEDCOM","Noticiero Matutino","-",35,1,0,0
2024-12-12,"MEDCOM","Noticiero Matutino","-",10,1,0,0
2024-12-12,"MEDCOM","Novela Vespertina","-",35,1,0,0
